Problem Number,Variables,Clauses,Literals per Clause,Result,Execution Time (µs),Satisfying Assignment
1,4,10,2,S,74.63,
2,4,10,2,S,69.14,
3,4,10,2,S,49.83,
4,4,10,2,S,54.60,
5,4,10,2,S,38.39,
6,4,10,2,S,16.69,
7,4,10,2,S,25.99,
8,4,10,2,S,21.70,
9,4,10,2,S,38.86,
10,4,10,2,S,70.33,
11,8,16,2,S,117.78,
12,8,16,2,S,122.07,
13,8,16,2,S,71.53,
14,8,16,2,S,113.01,
15,8,16,2,S,109.91,
16,8,16,2,S,111.58,
17,8,16,2,S,68.19,
18,8,16,2,S,134.71,
19,8,16,2,S,187.16,
20,8,16,2,S,50.07,
21,12,24,2,S,350.00,
22,12,24,2,S,195.74,
23,12,24,2,S,335.45,
24,12,24,2,S,220.54,
25,12,24,2,S,195.50,
26,12,24,2,S,300.41,
27,12,24,2,S,344.04,
28,12,24,2,S,302.55,
29,12,24,2,S,204.80,
30,12,24,2,S,226.50,
31,16,32,2,S,352.38,
32,16,32,2,S,503.78,
33,16,32,2,S,522.85,
34,16,32,2,S,544.31,
35,16,32,2,S,537.87,
36,16,32,2,S,334.98,
37,16,32,2,S,462.29,
38,16,32,2,S,483.99,
39,16,32,2,S,467.54,
40,16,32,2,S,492.33,
41,18,36,2,S,586.51,
42,18,36,2,S,470.88,
43,18,36,2,S,664.47,
44,18,36,2,S,388.86,
45,18,36,2,S,502.82,
46,18,36,2,S,630.86,
47,18,36,2,S,620.37,
48,18,36,2,S,526.19,
49,18,36,2,S,534.06,
50,18,36,2,S,547.41,
51,20,40,2,S,664.00,
52,20,40,2,S,737.19,
53,20,40,2,S,572.20,
54,20,40,2,S,645.16,
55,20,40,2,S,551.70,
56,20,40,2,S,766.52,
57,20,40,2,S,502.35,
58,20,40,2,S,572.92,
59,20,40,2,S,700.95,
60,20,40,2,S,519.75,
61,22,44,2,S,739.81,
62,22,44,2,S,833.99,
63,22,44,2,S,744.58,
64,22,44,2,S,667.33,
65,22,44,2,S,763.65,
66,22,44,2,S,763.42,
67,22,44,2,S,718.36,
68,22,44,2,S,698.57,
69,22,44,2,S,794.17,
70,22,44,2,S,808.95,
71,24,48,2,S,892.40,
72,24,48,2,S,845.67,
73,24,48,2,S,963.21,
74,24,48,2,S,858.78,
75,24,48,2,S,925.78,
76,24,48,2,S,773.19,
77,24,48,2,S,846.15,
78,24,48,2,S,1001.83,
79,24,48,2,S,1127.00,
80,24,48,2,S,979.42,
81,4,20,3,S,84.16,
82,4,20,3,S,103.47,
83,4,20,3,S,82.97,
84,4,20,3,S,122.07,
85,4,20,3,S,95.13,
86,4,20,3,S,112.30,
87,4,20,3,S,95.61,
88,4,20,3,S,84.40,
89,4,20,3,S,67.71,
90,4,20,3,S,64.85,
91,8,40,3,S,320.67,
92,8,40,3,S,292.06,
93,8,40,3,S,254.87,
94,8,40,3,S,289.68,
95,8,40,3,S,313.52,
96,8,40,3,S,247.00,
97,8,40,3,S,316.38,
98,8,40,3,S,286.34,
99,8,40,3,S,290.16,
100,8,40,3,S,342.13,
101,12,60,3,S,707.15,
102,12,60,3,S,727.18,
103,12,60,3,S,748.63,
104,12,60,3,S,832.56,
105,12,60,3,S,630.62,
106,12,60,3,S,713.59,
107,12,60,3,S,723.12,
108,12,60,3,S,642.54,
109,12,60,3,S,718.12,
110,12,60,3,S,647.78,
111,16,80,3,S,1521.59,
112,16,80,3,S,977.52,
113,16,80,3,S,984.43,
114,16,80,3,S,1065.97,
115,16,80,3,S,1289.37,
116,16,80,3,S,1369.00,
117,16,80,3,S,1246.93,
118,16,80,3,S,1185.66,
119,16,80,3,S,1214.98,
120,16,80,3,S,879.29,
121,18,90,3,S,1449.82,
122,18,90,3,S,1615.52,
123,18,90,3,S,1545.19,
124,18,90,3,S,1631.02,
125,18,90,3,S,1693.96,
126,18,90,3,S,1362.80,
127,18,90,3,S,1685.38,
128,18,90,3,S,1466.27,
129,18,90,3,S,1628.64,
130,18,90,3,S,1171.83,
131,20,100,3,S,1841.07,
132,20,100,3,S,1579.28,
133,20,100,3,S,1793.15,
134,20,100,3,S,1766.68,
135,20,100,3,S,2035.38,
136,20,100,3,S,1978.16,
137,20,100,3,S,1865.39,
138,20,100,3,S,1739.50,
139,20,100,3,S,1519.20,
140,20,100,3,S,2269.27,
141,22,110,3,S,2172.95,
142,22,110,3,S,2470.49,
143,22,110,3,S,2033.95,
144,22,110,3,S,2015.35,
145,22,110,3,S,2223.97,
146,22,110,3,S,2034.90,
147,22,110,3,S,1776.93,
148,22,110,3,S,2271.89,
149,22,110,3,S,2233.74,
150,22,110,3,S,2455.47,
151,24,120,3,S,2379.18,
152,24,120,3,S,2187.01,
153,24,120,3,S,2338.17,
154,24,120,3,S,3259.90,
155,24,120,3,S,2617.36,
156,24,120,3,S,2378.70,
157,24,120,3,S,2580.40,
158,24,120,3,S,2052.07,
159,24,120,3,S,2609.25,
160,24,120,3,S,2448.32,
161,4,40,4,S,148.06,
162,4,40,4,S,124.22,
163,4,40,4,S,148.77,
164,4,40,4,S,164.99,
165,4,40,4,S,164.51,
166,4,40,4,S,164.75,
167,4,40,4,S,184.06,
168,4,40,4,S,176.91,
169,4,40,4,S,135.18,
170,4,40,4,S,142.81,
171,8,80,4,S,648.02,
172,8,80,4,S,641.82,
173,8,80,4,S,541.69,
174,8,80,4,S,505.92,
175,8,80,4,S,619.65,
176,8,80,4,S,527.86,
177,8,80,4,S,692.13,
178,8,80,4,S,630.38,
179,8,80,4,S,768.18,
180,8,80,4,S,760.08,
181,12,120,4,S,1443.15,
182,12,120,4,S,1297.24,
183,12,120,4,S,1003.27,
184,12,120,4,S,1496.79,
185,12,120,4,S,1216.17,
186,12,120,4,S,1207.35,
187,12,120,4,S,1780.51,
188,12,120,4,S,1363.04,
189,12,120,4,S,1182.79,
190,12,120,4,S,1698.97,
191,16,160,4,S,2718.69,
192,16,160,4,S,2727.99,
193,16,160,4,S,2362.49,
194,16,160,4,S,2049.68,
195,16,160,4,S,1944.78,
196,16,160,4,S,2295.26,
197,16,160,4,S,2362.25,
198,16,160,4,S,2757.79,
199,16,160,4,S,2454.76,
200,16,160,4,S,2381.09,
201,18,180,4,S,2833.84,
202,18,180,4,S,2639.53,
203,18,180,4,S,3112.32,
204,18,180,4,S,2518.18,
205,18,180,4,S,3469.94,
206,18,180,4,S,4099.13,
207,18,180,4,S,3330.47,
208,18,180,4,S,3489.26,
209,18,180,4,S,3617.53,
210,18,180,4,S,2605.44,
211,20,200,4,S,4537.11,
212,20,200,4,S,4475.59,
213,20,200,4,S,3909.83,
214,20,200,4,S,3664.73,
215,20,200,4,S,4429.58,
216,20,200,4,S,3796.34,
217,20,200,4,S,4267.22,
